Group1_key,eaudit_key,irn,AudKey,AudDate,AudGroup,AudOldValue,AudNewValue
1,1,573339118,2802935,2025-06-09,IZMgr,MulMultiMediaRef_tab: <table><tuple><atom>2957793</atom></tuple></table>,DarImageURL: <atom>http://fm-digital-assets.fieldmuseum.org/3091/150/IZ_M_21-40.pdf</atom>
2,1,573339118,2802935,2025-06-09,IZMgr,DarDateLastModified: <atom>2025-4-21T15:13:10.000CMT</atom>,MulMultiMediaRef_tab: <table><tuple><atom>3091150</atom></tuple></table>
3,1,573339118,2802935,2025-06-09,IZMgr,AdmTimeModified: <atom>15:13:10.000</atom>,DarDateLastModified: <atom>2025-6-9T19:13:21.000CMT</atom>
4,1,573339118,2802935,2025-06-09,IZMgr,AdmDateModified: <atom>2025-04-21</atom>,AdmTimeModified: <atom>19:13:21.000</atom>
5,1,573339118,2802935,2025-06-09,IZMgr,IdeHasTypeStatus: <atom>N</atom>,AdmDateModified: <atom>2025-06-09</atom>
6,1,573339118,2802935,2025-06-09,IZMgr,GeoValuation: <atom>No</atom>,
7,2,573339144,4642236,2025-06-09,IZMgr,DarImageURL: <atom>http://fm-digital-assets.fieldmuseum.org/2552/932/59_Cavolinia_tridentata_label_FMNH_IZ.jpg</atom>,DarImageURL: <atom>http://fm-digital-assets.fieldmuseum.org/3092/993/IZ_M_41-60.pdf</atom>
8,2,573339144,4642236,2025-06-09,IZMgr,MulMultiMediaRef_tab: <table><tuple><atom>2552932</atom></tuple></table>,MulMultiMediaRef_tab: <table><tuple><atom>3092993</atom></tuple></table>
9,2,573339144,4642236,2025-06-09,IZMgr,DarDateLastModified: <atom>2024-4-17T17:48:11.000CMT</atom>,DarDateLastModified: <atom>2025-6-9T19:13:29.000CMT</atom>
10,2,573339144,4642236,2025-06-09,IZMgr,AdmTimeModified: <atom>17:48:11.000</atom>,AdmTimeModified: <atom>19:13:29.000</atom>
11,2,573339144,4642236,2025-06-09,IZMgr,AdmModifiedBy: <atom>K</atom>,AdmModifiedBy: <atom>S</atom>
12,2,573339144,4642236,2025-06-09,IZMgr,AdmDateModified: <atom>2024-04-17</atom>,AdmDateModified: <atom>2025-06-09</atom>
13,2,573339144,4642236,2025-06-09,IZMgr,IdeHasTypeStatus: <atom>N</atom>,
14,2,573339144,4642236,2025-06-09,IZMgr,GeoValuation: <atom>No</atom>,
15,3,573339145,4642239,2025-06-09,IZMgr,DarImageURL: <atom>http://fm-digital-assets.fieldmuseum.org/2552/929/61_Diacria_trispinosa_label_FMNH_IZ.jpg</atom>,DarImageURL: <atom>http://fm-digital-assets.fieldmuseum.org/3086/781/IZ_M_61_80.pdf</atom>
16,3,573339145,4642239,2025-06-09,IZMgr,MulMultiMediaRef_tab: <table><tuple><atom>2552929</atom></tuple></table>,MulMultiMediaRef_tab: <table><tuple><atom>3086781</atom></tuple></table>
17,3,573339145,4642239,2025-06-09,IZMgr,DarDateLastModified: <atom>2024-4-17T17:48:10.000CMT</atom>,DarDateLastModified: <atom>2025-6-9T19:13:30.000CMT</atom>
18,3,573339145,4642239,2025-06-09,IZMgr,AdmTimeModified: <atom>17:48:10.000</atom>,AdmTimeModified: <atom>19:13:30.000</atom>
19,3,573339145,4642239,2025-06-09,IZMgr,AdmModifiedBy: <atom>K</atom>,AdmModifiedBy: <atom>S</atom>
20,3,573339145,4642239,2025-06-09,IZMgr,AdmDateModified: <atom>2024-04-17</atom>,AdmDateModified: <atom>2025-06-09</atom>
21,3,573339145,4642239,2025-06-09,IZMgr,IdeHasTypeStatus: <atom>N</atom>,
22,3,573339145,4642239,2025-06-09,IZMgr,GeoValuation: <atom>No</atom>,
23,4,573339146,4642241,2025-06-09,IZMgr,DarImageURL: <atom>http://fm-digital-assets.fieldmuseum.org/2552/930/62_Diacria_trispinosa_label_FMNH_IZ.jpg</atom>,DarImageURL: <atom>http://fm-digital-assets.fieldmuseum.org/3086/781/IZ_M_61_80.pdf</atom>
24,4,573339146,4642241,2025-06-09,IZMgr,MulMultiMediaRef_tab: <table><tuple><atom>2552930</atom></tuple></table>,MulMultiMediaRef_tab: <table><tuple><atom>3086781</atom></tuple></table>
25,4,573339146,4642241,2025-06-09,IZMgr,DarDateLastModified: <atom>2024-4-17T17:48:10.000CMT</atom>,DarDateLastModified: <atom>2025-6-9T19:13:30.000CMT</atom>
26,4,573339146,4642241,2025-06-09,IZMgr,AdmTimeModified: <atom>17:48:10.000</atom>,AdmTimeModified: <atom>19:13:30.000</atom>
27,4,573339146,4642241,2025-06-09,IZMgr,AdmModifiedBy: <atom>K</atom>,AdmModifiedBy: <atom>S</atom>
28,4,573339146,4642241,2025-06-09,IZMgr,AdmDateModified: <atom>2024-04-17</atom>,AdmDateModified: <atom>2025-06-09</atom>
29,4,573339146,4642241,2025-06-09,IZMgr,IdeHasTypeStatus: <atom>N</atom>,
30,4,573339146,4642241,2025-06-09,IZMgr,GeoValuation: <atom>No</atom>,
31,5,573339242,400162,2025-06-09,IZMgr,DarImageURL: <atom>http://fm-digital-assets.fieldmuseum.org/2245/993/165_Polygyratia_polygyrata_umbilical_FMNH_IZ.jpg|http://fm-digital-assets.fieldmuseum.org/2245/968/165_Polygyratia_polygyrata_apical_FMNH_IZ.jpg</atom>,DarImageURL: <atom>http://fm-digital-assets.fieldmuseum.org/3094/850/IZ_M_161-180.pdf</atom>
32,5,573339242,400162,2025-06-09,IZMgr,MulMultiMediaRef_tab: <table><tuple><atom>2245993</atom></tuple><tuple><atom>2245968</atom></tuple></table>,MulMultiMediaRef_tab: <table><tuple><atom>3094850</atom></tuple></table>
